Start Date,End Date,Grand Prix,Circuit,Winner ID,Winner,Flag,Country,Event Link,Completed
2000-03-12T05:00Z,2000-03-12T05:00Z,Australian GP,Melbourne Grand Prix Circuit,300,Michael Schumacher,https://a.espncdn.com/i/teamlogos/countries/500/sui.png,Switzerland,/f1/race/_/id/3716,True
2000-03-26T05:00Z,2000-03-26T05:00Z,Brazilian GP,Autodromo Jose Carlos Pace,300,Michael Schumacher,https://a.espncdn.com/i/teamlogos/countries/500/sui.png,Switzerland,/f1/race/_/id/3717,True
2000-04-09T04:00Z,2000-04-09T04:00Z,San Marino GP,Autodromo Enzo E Dino Ferrari,300,Michael Schumacher,https://a.espncdn.com/i/teamlogos/countries/500/sui.png,Switzerland,/f1/race/_/id/3718,True
2000-04-23T04:00Z,2000-04-23T04:00Z,British GP,Silverstone Circuit,304,David Coulthard,https://a.espncdn.com/i/teamlogos/countries/500/gbr.png,Britain,/f1/race/_/id/3719,True
2000-05-07T04:00Z,2000-05-07T04:00Z,Spanish GP,Madring,290,Mika Hakkinen,https://a.espncdn.com/i/teamlogos/countries/500/fin.png,Finland,/f1/race/_/id/3720,True
2000-05-21T04:00Z,2000-05-21T04:00Z,European GP,,300,Michael Schumacher,https://a.espncdn.com/i/teamlogos/countries/500/sui.png,Switzerland,/f1/race/_/id/3721,True
2000-06-04T04:00Z,2000-06-04T04:00Z,Monaco GP,Circuit de Monaco,304,David Coulthard,https://a.espncdn.com/i/teamlogos/countries/500/gbr.png,Britain,/f1/race/_/id/3722,True
2000-06-18T04:00Z,2000-06-18T04:00Z,Canadian GP,Circuit Gilles-Villeneuve,300,Michael Schumacher,https://a.espncdn.com/i/teamlogos/countries/500/sui.png,Switzerland,/f1/race/_/id/3723,True
2000-07-02T04:00Z,2000-07-02T04:00Z,French GP,Circuit Paul Ricard,304,David Coulthard,https://a.espncdn.com/i/teamlogos/countries/500/gbr.png,Britain,/f1/race/_/id/3724,True
2000-07-16T04:00Z,2000-07-16T04:00Z,Austrian GP,Red Bull Ring,290,Mika Hakkinen,https://a.espncdn.com/i/teamlogos/countries/500/fin.png,Finland,/f1/race/_/id/3725,True
2000-07-30T04:00Z,2000-07-30T04:00Z,German GP,Hockenheimring,301,Rubens Barrichello,https://a.espncdn.com/i/teamlogos/countries/500/bra.png,Brazil,/f1/race/_/id/3726,True
2000-08-13T04:00Z,2000-08-13T04:00Z,Hungarian GP,Hungaroring,290,Mika Hakkinen,https://a.espncdn.com/i/teamlogos/countries/500/fin.png,Finland,/f1/race/_/id/3727,True
2000-08-27T04:00Z,2000-08-27T04:00Z,Belgian GP,Circuit de Spa-Francorchamps,290,Mika Hakkinen,https://a.espncdn.com/i/teamlogos/countries/500/fin.png,Finland,/f1/race/_/id/3728,True
2000-09-10T04:00Z,2000-09-10T04:00Z,Italian GP,Autodromo Nazionale Monza,300,Michael Schumacher,https://a.espncdn.com/i/teamlogos/countries/500/sui.png,Switzerland,/f1/race/_/id/3729,True
2000-09-24T04:00Z,2000-09-24T04:00Z,United States GP,Circuit of the Americas,300,Michael Schumacher,https://a.espncdn.com/i/teamlogos/countries/500/sui.png,Switzerland,/f1/race/_/id/3730,True
2000-10-08T04:00Z,2000-10-08T04:00Z,Japanese GP,Suzuka International Racing Course,300,Michael Schumacher,https://a.espncdn.com/i/teamlogos/countries/500/sui.png,Switzerland,/f1/race/_/id/3731,True
2000-10-22T04:00Z,2000-10-22T04:00Z,Malaysian GP,Sepang International Circuit,300,Michael Schumacher,https://a.espncdn.com/i/teamlogos/countries/500/sui.png,Switzerland,/f1/race/_/id/3732,True
2001-03-04T05:00Z,2001-03-04T05:00Z,Australian GP,Melbourne Grand Prix Circuit,300,Michael Schumacher,https://a.espncdn.com/i/teamlogos/countries/500/sui.png,Switzerland,/f1/race/_/id/3733,True
2001-03-18T05:00Z,2001-03-18T05:00Z,Malaysian GP,Sepang International Circuit,300,Michael Schumacher,https://a.espncdn.com/i/teamlogos/countries/500/sui.png,Switzerland,/f1/race/_/id/3734,True
2001-04-01T05:00Z,2001-04-01T05:00Z,Brazilian GP,Autodromo Jose Carlos Pace,304,David Coulthard,https://a.espncdn.com/i/teamlogos/countries/500/gbr.png,Britain,/f1/race/_/id/3735,True
2001-04-15T04:00Z,2001-04-15T04:00Z,San Marino GP,Autodromo Enzo E Dino Ferrari,311,Ralf Schumacher,https://a.espncdn.com/i/teamlogos/countries/500/ger.png,Germany,/f1/race/_/id/3736,True
2001-04-29T04:00Z,2001-04-29T04:00Z,Spanish GP,Madring,300,Michael Schumacher,https://a.espncdn.com/i/teamlogos/countries/500/sui.png,Switzerland,/f1/race/_/id/3737,True
2001-05-13T04:00Z,2001-05-13T04:00Z,Austrian GP,Red Bull Ring,304,David Coulthard,https://a.espncdn.com/i/teamlogos/countries/500/gbr.png,Britain,/f1/race/_/id/3738,True
2001-05-27T04:00Z,2001-05-27T04:00Z,Monaco GP,Circuit de Monaco,300,Michael Schumacher,https://a.espncdn.com/i/teamlogos/countries/500/sui.png,Switzerland,/f1/race/_/id/3739,True
2001-06-10T04:00Z,2001-06-10T04:00Z,Canadian GP,Circuit Gilles-Villeneuve,311,Ralf Schumacher,https://a.espncdn.com/i/teamlogos/countries/500/ger.png,Germany,/f1/race/_/id/3740,True
2001-06-24T04:00Z,2001-06-24T04:00Z,European GP,,300,Michael Schumacher,https://a.espncdn.com/i/teamlogos/countries/500/sui.png,Switzerland,/f1/race/_/id/3741,True
2001-07-01T04:00Z,2001-07-01T04:00Z,French GP,Circuit Paul Ricard,300,Michael Schumacher,https://a.espncdn.com/i/teamlogos/countries/500/sui.png,Switzerland,/f1/race/_/id/3742,True
2001-07-15T04:00Z,2001-07-15T04:00Z,British GP,Silverstone Circuit,290,Mika Hakkinen,https://a.espncdn.com/i/teamlogos/countries/500/fin.png,Finland,/f1/race/_/id/3743,True
2001-07-29T04:00Z,2001-07-29T04:00Z,German GP,Hockenheimring,311,Ralf Schumacher,https://a.espncdn.com/i/teamlogos/countries/500/ger.png,Germany,/f1/race/_/id/3744,True
2001-08-19T04:00Z,2001-08-19T04:00Z,Hungarian GP,Hungaroring,300,Michael Schumacher,https://a.espncdn.com/i/teamlogos/countries/500/sui.png,Switzerland,/f1/race/_/id/3745,True
2001-09-02T04:00Z,2001-09-02T04:00Z,Belgian GP,Circuit de Spa-Francorchamps,300,Michael Schumacher,https://a.espncdn.com/i/teamlogos/countries/500/sui.png,Switzerland,/f1/race/_/id/3746,True
2001-09-16T04:00Z,2001-09-16T04:00Z,Italian GP,Autodromo Nazionale Monza,336,Juan Pablo Montoya,https://a.espncdn.com/i/teamlogos/countries/500/col.png,Colombia,/f1/race/_/id/3747,True
